success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,view_history,response_type,key_press,avg_frame_time,center_x,center_y,image,word,target,valence,matchness,correct_response,correct,exp_condition,result
,,,,,psychophysics,776,1883372,0.0-8.0-0.5-0.606,589,,j,,,,,,,,,,,,,key,j,16.65032039,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,他人,Word,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,777,1884920,0.0-8.0-0.5-0.607,397,,f,,,,,,,,,,,,,key,f,16.64996739,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Image,他人,Match,f,TRUE,Formal,
,,,,,psychophysics,778,1886866,0.0-8.0-0.5-0.608,795,,f,,,,,,,,,,,,,key,f,16.65030172,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,朋友,Image,自我,Mismatch,j,FALSE,Formal,
,,,,,psychophysics,779,1888696,0.0-8.0-0.5-0.609,676,,f,,,,,,,,,,,,,key,f,16.6503578,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,f,TRUE,Formal,
,,,,,psychophysics,780,1890543,0.0-8.0-0.5-0.610,692,,j,,,,,,,,,,,,,key,j,16.65003636,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,他人,Image,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,781,1892309,0.0-8.0-0.5-0.611,608,,j,,,,,,,,,,,,,key,j,16.65034286,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,他人,Word,朋友,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,782,1894243,0.0-8.0-0.5-0.612,779,,f,,,,,,,,,,,,,key,f,16.65038261,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Image,自我,Match,f,TRUE,Formal,
,,,,,psychophysics,783,1895967,0.0-8.0-0.5-0.613,565,,f,,,,,,,,,,,,,key,f,16.65058252,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,自我,Image,朋友,Mismatch,j,FALSE,Formal,
,,,,,psychophysics,784,1897627,0.0-8.0-0.5-0.614,507,,j,,,,,,,,,,,,,key,j,16.65163265,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Word,朋友,Match,f,FALSE,Formal,
,,,,,psychophysics,785,1899520,0.0-8.0-0.5-0.615,734,,j,,,,,,,,,,,,,key,j,16.65019643,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,自我,Image,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,786,1901395,0.0-8.0-0.5-0.616,723,,j,,,,,,,,,,,,,key,j,16.65075893,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,朋友,Word,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,787,1903284,0.0-8.0-0.5-0.617,718,,j,,,,,,,,,,,,,key,j,16.65075,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,自我,Word,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,788,1905035,0.0-8.0-0.5-0.618,593,,j,,,,,,,,,,,,,key,j,16.64994231,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,朋友,Image,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,789,1906703,0.0-8.0-0.5-0.619,515,,f,,,,,,,,,,,,,key,f,16.6504898,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,他人,Image,朋友,Mismatch,j,FALSE,Formal,
,,,,,psychophysics,790,1908322,0.0-8.0-0.5-0.620,462,,j,,,,,,,,,,,,,key,j,16.64910417,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Image,自我,Match,f,FALSE,Formal,
,,,,,psychophysics,791,1910471,0.0-8.0-0.5-0.621,985,,j,,,,,,,,,,,,,key,j,16.6511875,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Image,他人,Match,f,FALSE,Formal,
,,,,,psychophysics,792,1912375,0.0-8.0-0.5-0.622,746,,j,,,,,,,,,,,,,key,j,16.65061062,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Word,他人,Match,f,FALSE,Formal,
,,,,,psychophysics,793,1913944,0.0-8.0-0.5-0.623,416,,f,,,,,,,,,,,,,key,f,16.65048913,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Word,他人,Match,f,TRUE,Formal,
,,,,,psychophysics,794,1915647,0.0-8.0-0.5-0.624,540,,f,,,,,,,,,,,,,key,f,16.65016832,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Word,自我,Match,f,TRUE,Formal,
,,,,,psychophysics,795,1917353,0.0-8.0-0.5-0.625,545,,j,,,,,,,,,,,,,key,j,16.65033663,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,朋友,Image,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,796,1919117,0.0-8.0-0.5-0.626,608,,f,,,,,,,,,,,,,key,f,16.6504,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Image,自我,Match,f,TRUE,Formal,
,,,,,psychophysics,797,1920850,0.0-8.0-0.5-0.627,579,,j,,,,,,,,,,,,,key,j,16.65027451,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,他人,Image,朋友,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,798,1922632,0.0-8.0-0.5-0.628,630,,j,,,,,,,,,,,,,key,j,16.80894286,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,自我,Word,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,799,1924366,0.0-8.0-0.5-0.629,582,,j,,,,,,,,,,,,,key,j,16.65038835,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,他人,Image,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,800,1925945,0.0-8.0-0.5-0.630,425,,f,,,,,,,,,,,,,key,f,16.65023656,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Word,他人,Match,f,TRUE,Formal,
,,,,,psychophysics,801,1927676,0.0-8.0-0.5-0.631,578,,f,,,,,,,,,,,,,key,f,16.65048544,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Image,自我,Match,f,TRUE,Formal,
,,,,,psychophysics,802,1929390,0.0-8.0-0.5-0.632,561,,f,,,,,,,,,,,,,key,f,16.65026471,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Word,他人,Match,f,TRUE,Formal,
,,,,,psychophysics,803,1931301,0.0-8.0-0.5-0.633,757,,f,,,,,,,,,,,,,key,f,16.65058772,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Word,朋友,Match,f,TRUE,Formal,
,,,,,psychophysics,804,1933021,0.0-8.0-0.5-0.634,562,,f,,,,,,,,,,,,,key,f,16.65028431,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,他人,Word,朋友,Mismatch,j,FALSE,Formal,
,,,,,psychophysics,805,1934836,0.0-8.0-0.5-0.635,658,,j,,,,,,,,,,,,,key,j,16.65052778,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,自我,Word,朋友,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,806,1936697,0.0-8.0-0.5-0.636,707,,j,,,,,,,,,,,,,key,j,16.65112613,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Image,他人,Match,f,FALSE,Formal,
,,,,,psychophysics,807,1938762,0.0-8.0-0.5-0.637,908,,f,,,,,,,,,,,,,key,f,16.65035772,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,自我,Image,他人,Mismatch,j,FALSE,Formal,
,,,,,psychophysics,808,1940799,0.0-8.0-0.5-0.638,865,,j,,,,,,,,,,,,,key,j,16.65039167,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,自我,Image,朋友,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,809,1942571,0.0-8.0-0.5-0.639,622,,f,,,,,,,,,,,,,key,f,16.65032075,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Word,朋友,Match,f,TRUE,Formal,
,,,,,psychophysics,810,1944236,0.0-8.0-0.5-0.640,504,,j,,,,,,,,,,,,,key,j,16.64971717,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,朋友,Word,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,811,1946028,0.0-8.0-0.5-0.641,640,,j,,,,,,,,,,,,,key,j,16.65009434,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,朋友,Word,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,812,1947907,0.0-8.0-0.5-0.642,725,,j,,,,,,,,,,,,,key,j,16.65004505,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,他人,Word,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,813,1949616,0.0-8.0-0.5-0.643,556,,j,,,,,,,,,,,,,key,j,16.81525743,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,f,FALSE,Formal,
,,,,,psychophysics,814,1951397,0.0-8.0-0.5-0.644,614,,j,,,,,,,,,,,,,key,j,16.65083962,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,朋友,Image,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,815,1953191,0.0-8.0-0.5-0.645,637,,f,,,,,,,,,,,,,key,f,16.6504486,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Image,他人,Match,f,TRUE,Formal,
,,,,,psychophysics,816,1954968,0.0-8.0-0.5-0.646,612,,f,,,,,,,,,,,,,key,f,16.65040952,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,f,TRUE,Formal,
,,,,,psychophysics,817,1956744,0.0-8.0-0.5-0.647,623,,f,,,,,,,,,,,,,key,f,16.65048571,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Word,自我,Match,f,TRUE,Formal,
,,,,,psychophysics,818,1958465,0.0-8.0-0.5-0.648,564,,j,,,,,,,,,,,,,key,j,16.65022772,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,f,FALSE,Formal,
,,,,,psychophysics,819,1960078,0.0-8.0-0.5-0.649,462,,f,,,,,,,,,,,,,key,f,16.65067368,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Word,朋友,Match,f,TRUE,Formal,
,,,,,psychophysics,820,1961819,0.0-8.0-0.5-0.650,588,,j,,,,,,,,,,,,,key,j,16.65048544,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,朋友,Image,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,821,1963437,0.0-8.0-0.5-0.651,454,,f,,,,,,,,,,,,,key,f,16.65057292,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Word,朋友,Match,f,TRUE,Formal,
,,,,,psychophysics,822,1965134,0.0-8.0-0.5-0.652,540,,f,,,,,,,,,,,,,key,f,16.65043564,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Word,自我,Match,f,TRUE,Formal,
,,,,,psychophysics,823,1966948,0.0-8.0-0.5-0.653,656,,j,,,,,,,,,,,,,key,j,16.64975,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,他人,Word,朋友,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,824,1968684,0.0-8.0-0.5-0.654,577,,f,,,,,,,,,,,,,key,f,16.65054902,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Word,自我,Match,f,TRUE,Formal,
